"name"	"taxRank"	"taxID"	"Max"	"K1.cladeReads"	"K2.cladeReads"	"W1.cladeReads"	"Max.1"	"K1.cladeReads.."	"K2.cladeReads.."	"W1.cladeReads.."	"Max.2"	"K1.cladeReads.rank"	"K2.cladeReads.rank"	"W1.cladeReads.rank"	"Max.3"	"K1.cladeReads.z.score"	"K2.cladeReads.z.score"	"W1.cladeReads.z.score"	"Max.4"	"K1.cladeReads...z.score"	"K2.cladeReads...z.score"	"W1.cladeReads...z.score"	"lineage"
"Cronobacter"	"G"	413496	1	1	NA	1	0.000392	0.0001659	NA	0.000392	279	279	NA	428.5	NA	NA	NA	NA	0.2261	NA	NA	0.2261	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Proteus"	"G"	583	4	4	NA	NA	0.0006636	0.0006636	NA	NA	119	119	NA	NA	4	4	NA	NA	0.6636	0.6636	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Morganellaceae"
"Providencia"	"G"	586	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Morganellaceae"
"Erwinia"	"G"	551	1	1	NA	1	0.000392	0.0001659	NA	0.000392	279	279	NA	428.5	NA	NA	NA	NA	0.2261	NA	NA	0.2261	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Paramixta"	"G"	3231896	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Serratia"	"G"	613	2	1	NA	2	0.000784	0.0001659	NA	0.000784	259	279	NA	259	0.6745	NA	NA	0.6745	0.6181	NA	NA	0.6181	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Candidatus Fukatsuia"	"G"	1927833	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Hafnia"	"G"	568	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Hafniaceae"
"Haemophilus"	"G"	724	115	115	30	NA	0.01908	0.01908	0.005353	NA	41	41	57.5	NA	1.911	1.911	NA	NA	1.73	1.73	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Mergibacter"	"G"	2899790	2	2	NA	NA	0.0003318	0.0003318	NA	NA	172	172	NA	NA	2	2	NA	NA	0.3318	0.3318	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Pseudocolwellia"	"G"	2848177	3	3	NA	NA	0.0004977	0.0004977	NA	NA	138	138	NA	NA	3	3	NA	NA	0.4977	0.4977	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Colwelliaceae"
"Thalassotalea"	"G"	1518149	3	1	NA	3	0.001176	0.0001659	NA	0.001176	203.5	279	NA	203.5	1.349	NA	NA	1.349	1.01	NA	NA	1.01	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Colwelliaceae"
"Aliiglaciecola"	"G"	1406885	1	1	NA	NA	0.0001659	0.0001659	NA	NA	279	279	NA	NA	1	1	NA	NA	0.1659	0.1659	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae"
"Alteromonas"	"G"	226	3	1	NA	3	0.001176	0.0001659	NA	0.001176	203.5	279	NA	203.5	1.349	NA	NA	1.349	1.01	NA	NA	1.01	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Alteromonas/Salinimonas&nbsp;group"
