"name"	"taxRank"	"taxID"	"Max"	"K1.cladeReads"	"K2.cladeReads"	"W1.cladeReads"	"Max.1"	"K1.cladeReads.."	"K2.cladeReads.."	"W1.cladeReads.."	"Max.2"	"K1.cladeReads.rank"	"K2.cladeReads.rank"	"W1.cladeReads.rank"	"Max.3"	"K1.cladeReads.z.score"	"K2.cladeReads.z.score"	"W1.cladeReads.z.score"	"Max.4"	"K1.cladeReads...z.score"	"K2.cladeReads...z.score"	"W1.cladeReads...z.score"	"lineage"
"Buttiauxella"	"G"	82976	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Buchnera"	"G"	32199	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Yersinia"	"G"	629	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Amphritea"	"G"	515417	7	NA	NA	7	0.002744	NA	NA	0.002744	114.5	NA	NA	114.5	7	NA	NA	7	2.744	NA	NA	2.744	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae"
"Marinomonas"	"G"	28253	3	NA	NA	3	0.001176	NA	NA	0.001176	203.5	NA	NA	203.5	3	NA	NA	3	1.176	NA	NA	1.176	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae"
"Thalassolituus"	"G"	187492	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae"
"Halomonas"	"G"	2745	4	NA	NA	4	0.001568	NA	NA	0.001568	167.5	NA	NA	167.5	4	NA	NA	4	1.568	NA	NA	1.568	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Cobetia"	"G"	204286	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Vreelandella"	"G"	3137766	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Oceanospirillales>Halomonadaceae"
"Parashewanella"	"G"	2547964	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Shewanellaceae"
"Colwellia"	"G"	28228	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Colwelliaceae"
"Photobacterium"	"G"	657	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"Salinivibrio"	"G"	51366	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae"
"Faucicola"	"G"	1604696	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae"
"Frateuria"	"G"	70411	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Rhodanobacteraceae"
"Thiodictyon"	"G"	53392	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Thiothrix"	"G"	1030	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Thiotrichales>Thiotrichaceae"
"Immundisolibacter"	"G"	1934947	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Immundisolibacterales>Immundisolibacteraceae"
"Nevskia"	"G"	64001	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Nevskiales>Nevskiaceae"
"Collimonas"	"G"	202907	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"Undibacterium"	"G"	401469	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Oxalobacteraceae"
"Duganella"	"G"	75654	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Telluria&nbsp;group"
"Polynucleobacter"	"G"	44013	4	NA	NA	4	0.001568	NA	NA	0.001568	167.5	NA	NA	167.5	4	NA	NA	4	1.568	NA	NA	1.568	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Pandoraea"	"G"	93217	4	NA	NA	4	0.001568	NA	NA	0.001568	167.5	NA	NA	167.5	4	NA	NA	4	1.568	NA	NA	1.568	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Lautropia"	"G"	47670	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Mycetohabitans"	"G"	2571159	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae"
"Sutterella"	"G"	40544	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Sutterellaceae"
"Variovorax"	"G"	34072	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rubrivivax"	"G"	28067	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Sphaerotilaceae"
"Roseateles"	"G"	93681	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Burkholderiales>Sphaerotilaceae"
"Iodobacter"	"G"	32014	5	NA	NA	5	0.00196	NA	NA	0.00196	139.5	NA	NA	139.5	5	NA	NA	5	1.96	NA	NA	1.96	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Neisseriales>Chitinibacteraceae"
"Kingella"	"G"	32257	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Neisseriales>Neisseriaceae"
"Paralysiella"	"G"	2898489	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Neisseriales>Neisseriaceae"
"Chromobacterium"	"G"	535	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Neisseriales>Chromobacteriaceae"
"Denitratisoma"	"G"	311181	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Nitrosomonadales>Sterolibacteriaceae"
"Sulfuricystis"	"G"	3050898	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Nitrosomonadales>Sterolibacteriaceae"
"Quatrionicoccus"	"G"	138117	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Rhodocyclales>Azonexaceae"
"Shinella"	"G"	323620	5	NA	NA	5	0.00196	NA	NA	0.00196	139.5	NA	NA	139.5	5	NA	NA	5	1.96	NA	NA	1.96	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae"
"Neorhizobium"	"G"	1525371	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Pseudorhizobium"	"G"	1903858	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Liberibacter"	"G"	34019	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae"
"Hoeflea"	"G"	274591	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae"
"Peteryoungia"	"G"	2853332	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae"
"Phyllobacterium"	"G"	28100	3	NA	NA	3	0.001176	NA	NA	0.001176	203.5	NA	NA	203.5	3	NA	NA	3	1.176	NA	NA	1.176	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae"
"Nitratireductor"	"G"	245876	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae"
"Variibacter"	"G"	1649510	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae"
"Pseudolabrys"	"G"	556257	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Xanthobacteraceae"
"Xanthobacter"	"G"	279	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Xanthobacteraceae"
"Brucella"	"G"	234	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Brucellaceae>Brucella/Ochrobactrum&nbsp;group"
"Methylorubrum"	"G"	2282523	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Methylobacteriaceae"
"Aureimonas"	"G"	414371	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Aurantimonadaceae"
"Cohaesibacter"	"G"	655352	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Cohaesibacteraceae"
"Falsihalocynthiibacter"	"G"	2854182	4	NA	NA	4	0.001568	NA	NA	0.001568	167.5	NA	NA	167.5	4	NA	NA	4	1.568	NA	NA	1.568	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae"
"Shimia"	"G"	573139	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae"
"Sulfitobacter"	"G"	60136	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae"
"Roseovarius"	"G"	74030	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae"
"Ketogulonicigenium"	"G"	92944	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae"
"Jannaschia"	"G"	188905	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae"
"Paracoccus"	"G"	265	6	NA	NA	6	0.002352	NA	NA	0.002352	125.5	NA	NA	125.5	6	NA	NA	6	2.352	NA	NA	2.352	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae"
"Tabrizicola"	"G"	1443919	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae"
"Algicella"	"G"	3050722	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae"
"Erythrobacter"	"G"	1041	3	NA	NA	3	0.001176	NA	NA	0.001176	203.5	NA	NA	203.5	3	NA	NA	3	1.176	NA	NA	1.176	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Erythrobacter/Porphyrobacter&nbsp;group"
"Altererythrobacter"	"G"	361177	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae"
"Novosphingobium"	"G"	165696	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae"
"Allosphingosinicella"	"G"	2823232	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Sphingomicrobiaceae"
"Zymomonas"	"G"	541	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Zymomonadaceae"
"Sphingobium"	"G"	165695	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Sphingobiaceae"
"Acetobacter"	"G"	434	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Acetobacterales>Acetobacteraceae"
"Sediminicoccus"	"G"	1706033	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Acetobacterales>Roseomonadaceae"
"Azospirillum"	"G"	191	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodospirillales>Azospirillaceae"
"Magnetospira"	"G"	1182780	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodospirillales>Thalassospiraceae"
"Varunaivibrio"	"G"	1866954	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodospirillales>Magnetovibrionaceae"
"Asticcacaulis"	"G"	76890	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Candidatus Pelagibacter"	"G"	198251	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae"
"Tistrella"	"G"	171436	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Geminicoccales>Geminicoccaceae"
"Hyphomonas"	"G"	85	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomonadales>Hyphomonadaceae"
"Halodesulfovibrio"	"G"	1912771	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfovibrionia>Desulfovibrionales>Desulfovibrionaceae"
"Nitratidesulfovibrio"	"G"	2802295	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfovibrionia>Desulfovibrionales>Desulfovibrionaceae"
"Desulfomicrobium"	"G"	898	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfovibrionia>Desulfovibrionales>Desulfomicrobiaceae"
"Geobacter"	"G"	28231	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfuromonadia>Geobacterales>Geobacteraceae"
"Trichlorobacter"	"G"	115782	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfuromonadia>Geobacterales>Geobacteraceae"
"Geoalkalibacter"	"G"	392332	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfuromonadia>Desulfuromonadales>Geoalkalibacteraceae"
"Desulfosediminicola"	"G"	2886823	2	NA	NA	2	0.000784	NA	NA	0.000784	259	NA	NA	259	2	NA	NA	2	0.784	NA	NA	0.784	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfobulbia>Desulfobulbales>Desulfocapsaceae"
"Desulfopila"	"G"	429014	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfobulbia>Desulfobulbales>Desulfocapsaceae"
"Desulfoluna"	"G"	497721	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfobacteria>Desulfobacterales>Desulfolunaceae"
"Desulfosarcina"	"G"	2299	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfobacteria>Desulfobacterales>Desulfosarcinaceae"
"Desulfoglaeba"	"G"	361106	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Syntrophobacteria>Syntrophobacterales>Syntrophobacteraceae"
"Syntrophus"	"G"	43773	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Syntrophia>Syntrophales>Syntrophaceae"
"Malaciobacter"	"G"	2321114	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Arcobacteraceae"
"Hydrogenimonas"	"G"	223785	1	NA	NA	1	0.000392	NA	NA	0.000392	428.5	NA	NA	428.5	1	NA	NA	1	0.392	NA	NA	0.392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Hydrogenimonadaceae"
